CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV
D-Glucose,50-99-7,50997,CASRN,"50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb","100,000,000 - <250,000,000 lb","50,000,000 - <100,000,000 lb"
"Neodecanoic acid, ethenyl ester",51000-52-3,51000523,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","10,000,000 - <50,000,000 lb","1,000,000 - <10,000,000 lb"
"Butanamide, 2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(2,1-diazenediyl)]bis[N-(2,4-dimethylphenyl)-3-oxo-",5102-83-0,5102830,CASRN,"500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","500,000 - <1,000,000 lb"
"1,3-Benzodioxole, 5-[[2-(2-butoxyethoxy)ethoxy]methyl]-6-propyl-",51-03-6,51036,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1H-Benzotriazole, potassium salt (1:1)",51126-65-9,51126659,CASRN,"22,139","28,000","20,287","26,163"
"Decanamide, N,N'-1,2-ethanediylbis-",51139-08-3,51139083,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"2-Propenoic acid, 1,1'-[(methyl-1,3-phenylene)bis[iminocarbonyloxy[2,2-bis[[(1-oxo-2-propen-1-yl)oxy]methyl]-3,1-propanediyl]]] ester",51160-64-6,51160646,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Urea, polymer with .alpha.-(2-aminomethylethyl)-.omega.-(2-aminomethylethoxy)poly[oxy(methyl-1,2-ethanediyl)]",51160-97-5,51160975,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Phosphorochloridothioic acid, O-ethyl O-(1-methylethyl) ester",51162-51-7,51162517,CASRN,0,"105,258",0,0
"2-Propen-1-one, 1-(4-morpholinyl)-",5117-12-4,5117124,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1,3-Benzenedicarboxylic acid, 5-sulfo-, sodium salt, compd. with 1,6-hexanediamine (1:1:1)",51178-75-7,51178757,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","20,000,000 lb - <100,000,000 lb"
"Cyclohexanecarboxylic acid, 4-methyl-, methyl ester",51181-40-9,51181409,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Oxazolidine, 4,4-dimethyl-",51200-87-4,51200874,CASRN,"1,500,176","702,412","2,513,999","416,353"
"Sulfuric acid, monomethyl ester, sodium salt (1:1)",512-42-5,512425,CASRN,"373,042","300,038","349,036","437,909"
"Benzenesulfonamide, 3-nitro-N-phenyl-4-(phenylamino)-",5124-25-4,5124254,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Cyclohexane, 1,1'-methylenebis[4-isocyanato-",5124-30-1,5124301,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"Poly(oxy-1,2-ethanediyl), .alpha.-[[(3-isocyanatomethylphenyl)amino]carbonyl]-.omega.-methoxy-",51247-55-3,51247553,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Phosphoric acid, trimethyl ester",512-56-1,512561,CASRN,"17,640","52,920","17,640","176,400"
C.I. Pigment Yellow 42,51274-00-1,51274001,CASRN,"50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb"
"Phenol, 2,4-dinitro-",51-28-5,51285,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Stannane, bis(dodecylthio)dimethyl-",51287-84-4,51287844,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Carbon fluoride,51311-17-2,51311172,CASRN,"63,435","96,740","106,070","102,637"
"2-Propanol, 1-butoxy-",5131-66-8,5131668,CASRN,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb"
"2-Butene, 2-methyl-",513-35-9,513359,CASRN,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","50,000,000 - <100,000,000 lb","10,000,000 - <50,000,000 lb"
2-Butanethiol,513-53-1,513531,CASRN,"<1,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb","<1,000,000 lb"
"Carbonic acid, barium salt (1:1)",513-77-9,513779,CASRN,"100,000,000 - <250,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb"
"Carbonic acid, cobalt(2+) salt (1:1)",513-79-1,513791,CASRN,"1,000,000 lb - <20,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 - <10,000,000 lb"
"2,3-Butanediol",513-85-9,513859,CASRN,"1,200,000","1,800,000","1,300,000","2,040,000"
"Formic acid, compd. with 2,2'-oxybis[N,N-dimethylethanamine] (2:1)",51390-19-3,51390193,CASRN,0,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Phosphinic acid, P-phenyl-, compd. with 1,6-hexanediamine (2:1)",5139-88-8,5139888,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1-Propanaminium, N,N,N-trimethyl-3-[(2-methyl-1-oxo-2-propen-1-yl)amino]-, chloride (1:1)",51410-72-1,51410721,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"3-Cyclohexene-1-carboxaldehyde, 3-(4-hydroxy-4-methylpentyl)-",51414-25-6,51414256,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Propane, 2-(2-ethoxyethoxy)-2-methyl-",51422-54-9,51422549,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1-Naphthalenepropanol, .alpha.-ethenyldecahydro-2-hydroxy-.alpha.,2,5,5,8a-pentamethyl-, (.alpha.R,1R,2R,4aS,8aS)-",515-03-7,515037,CASRN,0,"<1,000,000 lb","<1,000,000 lb",0
"Fatty acids, corn-oil, Me esters",515152-40-6,515152406,CASRN,"250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb","100,000,000 lb - <1,000,000,000 lb"
"Zirconium, bis(acetato-.kappa.O)oxo-",5153-24-2,5153242,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Cationic substituted acid amide (PROVISIONAL),51559,51559,Accession Number,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"6-Octenenitrile, 3,7-dimethyl-",51566-62-2,51566622,CASRN,"500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
